Date,SKU_ID,Item_Name,Category,Warehouse,Opening_Stock,Stock_In,Stock_Out,Unit_Price,Closing_Stock,Sales_Value,Reorder_Level,Supplier,Lead_Time_Days,Discount_Applied,Is_Subscriber,Review_Rating,Return_Rate,Purchase_Frequency,Stock_Turnover
05-02-2025,SKU100081,Blouse,Accessories,WH_B,93,271,70,1352.14,294,94649.8,70,Supplier_Z,3,0,0,4,0.067,4,0.362
11-02-2025,SKU100082,Belt,Footwear,WH_A,448,282,147,65.55,583,9635.85,31,Supplier_W,20,1,0,2,0.065,1,0.285
03-11-2025,SKU100083,Jeans,Footwear,WH_B,315,131,92,1674.77,354,154078.84,19,Supplier_Y,7,1,0,4,0.175,6,0.275
16-07-2024,SKU100084,Socks,Accessories,WH_A,265,71,282,1056.76,54,298006.32,68,Supplier_Z,8,0,0,4,0.109,6,1.768
09-10-2025,SKU100085,Jeans,Footwear,WH_A,252,80,216,1890.56,116,408360.96,117,Supplier_X,3,0,1,5,0.054,3,1.174
29-08-2024,SKU100086,Scarf,Accessories,WH_B,357,173,237,982.42,293,232833.54,100,Supplier_Y,9,0,1,4,0.109,1,0.729
01-11-2025,SKU100087,Tie,Clothing,WH_C,57,299,226,894.52,130,202161.52,21,Supplier_Z,29,1,0,3,0.053,12,2.417
27-10-2025,SKU100088,Skirt,Footwear,WH_B,430,51,218,927.6,263,202216.8,72,Supplier_Y,6,0,0,3,0.037,5,0.629
10-10-2024,SKU100089,Cap,Footwear,WH_C,398,289,318,751.47,369,238967.46,24,Supplier_X,11,1,0,4,0.056,12,0.829
30-12-2023,SKU100090,Sandals,Accessories,WH_A,8,236,336,375.02,0,126006.72,72,Supplier_Z,17,0,0,4,0.126,1,84
11-06-2024,SKU100091,Coat,Accessories,WH_C,12,276,30,1692.02,258,50760.6,74,Supplier_W,8,0,0,1,0.103,3,0.222
13-05-2024,SKU100092,Cap,Accessories,WH_B,406,279,113,808.72,572,91385.36,47,Supplier_W,27,0,0,3,0.033,8,0.231
21-11-2024,SKU100093,Jacket,Accessories,WH_B,416,43,101,1081.76,358,109257.76,114,Supplier_X,19,0,1,4,0.182,10,0.261
14-03-2025,SKU100094,Sweater,Footwear,WH_C,392,253,92,88.78,553,8167.76,97,Supplier_Z,22,0,0,4,0.1,9,0.195
18-12-2023,SKU100095,Dress,Clothing,WH_B,130,133,206,167.5,57,34505,15,Supplier_X,20,0,0,4,0.159,3,2.203
12-04-2024,SKU100096,Bag,Clothing,WH_C,221,55,390,1214.51,0,473658.9,102,Supplier_X,24,0,1,5,0.066,9,3.529
22-11-2023,SKU100097,Bag,Clothing,WH_A,328,13,228,1764.49,113,402303.72,15,Supplier_Y,6,0,1,4,0.192,7,1.034
11-01-2024,SKU100098,Socks,Clothing,WH_C,371,177,70,1012.12,478,70848.4,47,Supplier_W,11,0,0,3,0.15,8,0.165
11-04-2025,SKU100099,Blouse2,Accessories,WH_C,152,100,341,371.7,0,126749.7,57,Supplier_X,16,0,1,5,0.091,6,4.487
16-10-2024,SKU100100,Tie,Footwear,WH_C,380,179,135,276.45,424,37320.75,24,Supplier_Y,5,0,0,3,0.18,5,0.336
15-03-2024,SKU100101,Cap,Footwear,WH_C,366,256,283,1804.59,339,510698.97,81,Supplier_X,3,1,1,3,0.143,10,0.803
16-08-2025,SKU100102,Cap,Footwear,WH_A,471,267,337,1418.19,401,477930.03,38,Supplier_X,29,0,1,4,0.086,8,0.773
21-02-2025,SKU100103,Bag,Accessories,WH_A,479,36,350,1934.08,165,676928,11,Supplier_X,13,0,0,3,0.195,12,1.087
09-01-2024,SKU100104,Tie,Footwear,WH_A,70,203,16,210.58,257,3369.28,84,Supplier_W,3,0,1,3,0.06,2,0.098
25-03-2024,SKU100105,Sweater,Accessories,WH_C,419,258,214,1810.1,463,387361.4,82,Supplier_Z,14,0,1,4,0.051,7,0.485
20-03-2025,SKU100106,Dress,Footwear,WH_A,344,154,394,1698.98,104,669398.12,25,Supplier_W,27,0,1,5,0.179,1,1.759
22-06-2025,SKU100107,T-Shirt,Clothing,WH_B,19,237,398,1791.71,0,713100.58,67,Supplier_Y,11,1,1,4,0.141,7,41.895
03-12-2024,SKU100108,T-Shirt,Accessories,WH_A,80,99,243,61.24,0,14881.32,97,Supplier_Z,7,0,0,3,0.069,6,6.075
12-09-2025,SKU100109,Watch,Footwear,WH_C,437,272,94,1496.71,615,140690.74,43,Supplier_Y,17,1,1,2,0.046,4,0.179
30-12-2024,SKU100110,Bag,Clothing,WH_B,227,112,120,1120.43,219,134451.6,52,Supplier_X,20,0,1,3,0.036,3,0.538
22-08-2024,SKU100111,Tie,Clothing,WH_C,345,109,5,1167.7,449,5838.5,33,Supplier_Z,11,1,0,1,0.063,9,0.013
20-11-2024,SKU100112,Sneakers,Clothing,WH_B,18,142,267,964.94,0,257638.98,111,Supplier_Y,15,0,0,4,0.025,6,29.667
11-03-2025,SKU100113,Blouse2,Accessories,WH_C,443,166,86,1498.22,523,128846.92,111,Supplier_X,30,0,1,4,0.029,6,0.178
25-06-2024,SKU100114,Bag,Accessories,WH_C,164,259,188,1999.69,235,375941.72,34,Supplier_Y,15,0,1,4,0.155,1,0.942
18-12-2023,SKU100115,Belt,Footwear,WH_B,367,144,102,1435.55,409,146426.1,50,Supplier_Y,26,0,0,5,0.013,5,0.263
05-12-2023,SKU100116,Sneakers,Clothing,WH_A,386,229,103,1372.2,512,141336.6,42,Supplier_W,15,1,0,4,0.088,12,0.229
21-03-2024,SKU100117,Sneakers,Footwear,WH_B,106,267,290,1326.15,83,384583.5,117,Supplier_X,29,1,1,4,0.081,7,3.069
26-05-2024,SKU100118,Watch,Footwear,WH_B,376,31,66,1405.66,341,92773.56,52,Supplier_W,12,0,0,3,0.192,4,0.184
10-12-2023,SKU100119,Bag,Clothing,WH_B,347,298,105,717.12,540,75297.6,26,Supplier_Z,12,0,0,5,0.093,12,0.237
25-12-2023,SKU100120,Jacket,Footwear,WH_B,213,218,247,674.43,184,166584.21,16,Supplier_X,24,0,1,5,0.032,2,1.244
24-03-2025,SKU100121,Skirt,Accessories,WH_B,238,176,347,1579.46,67,548072.62,68,Supplier_W,9,1,0,5,0.018,9,2.275
18-12-2024,SKU100122,Tie,Footwear,WH_C,146,103,206,153.52,43,31625.12,36,Supplier_W,30,0,1,5,0.146,6,2.18
03-06-2025,SKU100123,Sunglasses,Clothing,WH_C,180,235,204,1530.53,211,312228.12,45,Supplier_Z,24,1,1,5,0.03,9,1.043
04-11-2025,SKU100124,Shirt,Accessories,WH_A,429,92,318,1636.99,203,520562.82,114,Supplier_Y,7,0,1,4,0.188,8,1.006
14-02-2024,SKU100125,Sweater,Accessories,WH_A,335,200,82,1067.12,453,87503.84,28,Supplier_Y,22,1,0,4,0.112,1,0.208
21-09-2025,SKU100126,Blouse2,Footwear,WH_B,439,298,81,1824.79,656,147807.99,24,Supplier_Y,9,0,1,3,0.08,2,0.148
02-11-2025,SKU100127,Tie,Footwear,WH_A,197,230,286,972.52,141,278140.72,79,Supplier_Z,22,0,0,4,0.137,2,1.692
07-05-2025,SKU100128,Jacket,Accessories,WH_A,484,254,36,397.27,702,14301.72,66,Supplier_W,12,0,0,4,0.04,2,0.061
12-07-2025,SKU100129,Bag,Footwear,WH_B,286,84,212,754.73,158,160002.76,109,Supplier_X,12,0,0,5,0.076,4,0.955
11-02-2025,SKU100130,Blouse2,Clothing,WH_C,52,34,132,1816.44,0,239770.08,78,Supplier_Z,28,0,0,4,0.007,7,5.077
11-08-2025,SKU100131,Belt,Footwear,WH_C,368,116,114,1987.79,370,226608.06,62,Supplier_Y,27,1,0,5,0.176,7,0.309
12-11-2023,SKU100132,Blouse2,Footwear,WH_A,239,175,376,872.62,38,328105.12,118,Supplier_Y,23,0,1,4,0.085,1,2.715
12-06-2024,SKU100133,Bag,Accessories,WH_C,289,275,210,375.35,354,78823.5,78,Supplier_X,26,1,1,3,0.152,8,0.653
24-03-2025,SKU100134,Hat,Footwear,WH_C,286,84,131,608.34,239,79692.54,11,Supplier_Z,30,0,1,3,0.183,4,0.499
09-12-2024,SKU100135,Coat,Footwear,WH_A,187,116,373,1128.93,0,421090.89,116,Supplier_Y,15,0,1,5,0.131,8,3.989
04-12-2024,SKU100136,Coat,Footwear,WH_B,394,203,153,1165.59,444,178335.27,27,Supplier_Z,17,1,0,4,0.075,10,0.365
01-06-2024,SKU100137,Sunglasses,Clothing,WH_A,483,145,293,1278.62,335,374635.66,41,Supplier_W,30,0,0,3,0.124,9,0.716
22-11-2023,SKU100138,Tie,Footwear,WH_A,5,214,365,1678.94,0,612813.1,38,Supplier_Z,30,0,0,4,0.072,7,146
14-05-2025,SKU100139,Sneakers,Clothing,WH_A,282,104,181,1436.87,205,260073.47,58,Supplier_W,8,0,0,3,0.113,3,0.743
10-02-2025,SKU100140,Shorts,Clothing,WH_B,262,296,146,558.64,412,81561.44,93,Supplier_X,22,1,0,5,0.086,12,0.433
28-09-2025,SKU100141,Cap,Clothing,WH_B,48,68,221,820.34,0,181295.14,92,Supplier_W,14,1,1,2,0.03,3,9.208
04-06-2025,SKU100142,Watch,Clothing,WH_B,351,254,281,1687.64,324,474226.84,89,Supplier_W,21,1,0,3,0.156,5,0.833
05-07-2024,SKU100143,Sandals,Accessories,WH_B,199,230,126,1285.1,303,161922.6,84,Supplier_X,13,1,1,4,0.099,7,0.502
24-05-2025,SKU100144,Cap,Clothing,WH_A,59,202,307,374.52,0,114977.64,69,Supplier_Y,8,0,0,5,0.038,12,10.407
11-02-2024,SKU100145,Socks,Footwear,WH_C,32,247,202,684.8,77,138329.6,37,Supplier_X,3,0,0,4,0.178,7,3.706
06-03-2025,SKU100146,Scarf,Clothing,WH_A,302,248,117,1592.63,433,186337.71,95,Supplier_Z,4,0,0,1,0.171,9,0.318
18-12-2024,SKU100147,Coat,Footwear,WH_B,243,143,60,385.58,326,23134.8,36,Supplier_X,25,1,1,5,0.112,1,0.211
25-06-2024,SKU100148,Cap,Clothing,WH_C,171,282,230,1397.55,223,321436.5,90,Supplier_Z,17,1,0,4,0.194,3,1.168
23-08-2025,SKU100149,T-Shirt,Accessories,WH_A,206,240,149,1148.9,297,171186.1,17,Supplier_Y,6,0,0,2,0.185,1,0.592
26-04-2024,SKU100150,Cap,Clothing,WH_C,374,228,144,337.58,458,48611.52,81,Supplier_Z,7,0,0,4,0.179,6,0.346
01-05-2025,SKU100151,Sandals,Clothing,WH_B,282,30,394,1393.31,0,548964.14,32,Supplier_X,17,1,1,5,0.027,12,2.794
13-12-2023,SKU100152,Sweater,Accessories,WH_C,477,108,110,327.58,475,36033.8,41,Supplier_X,13,0,1,4,0.059,10,0.231
15-04-2025,SKU100153,Watch,Clothing,WH_C,21,26,166,826.95,0,137273.7,117,Supplier_Y,12,0,0,5,0.082,7,15.81
15-04-2024,SKU100154,T-Shirt,Footwear,WH_B,46,159,188,651.69,17,122517.72,24,Supplier_X,19,0,0,4,0.166,2,5.968
06-10-2025,SKU100155,Scarf,Clothing,WH_C,348,16,48,1395.52,316,66984.96,100,Supplier_Y,4,1,0,4,0.174,9,0.145
07-07-2024,SKU100156,Jeans,Clothing,WH_A,488,266,106,1575.61,648,167014.66,77,Supplier_Y,22,0,0,2,0.15,12,0.187
01-02-2024,SKU100157,Hat,Clothing,WH_C,431,128,92,378.22,467,34796.24,49,Supplier_X,26,0,1,5,0.094,5,0.205
07-06-2025,SKU100158,Shirt,Accessories,WH_A,157,219,123,1633.39,253,200906.97,105,Supplier_W,12,0,0,4,0.032,3,0.6
19-09-2025,SKU100159,Sunglasses,Clothing,WH_C,257,81,316,64.07,22,20246.12,66,Supplier_Z,22,0,0,4,0.007,7,2.265
17-05-2025,SKU100160,Sandals,Clothing,WH_C,142,48,139,1083.61,51,150621.79,56,Supplier_W,5,0,0,4,0.14,7,1.44
03-06-2025,SKU100161,Watch,Footwear,WH_B,46,40,396,1057.74,0,418865.04,110,Supplier_Y,21,1,1,4,0.199,1,17.217
14-08-2025,SKU100162,Scarf,Clothing,WH_B,26,19,313,1266.45,0,396398.85,19,Supplier_Z,30,0,1,4,0.069,6,24.077
05-12-2023,SKU100163,T-Shirt,Clothing,WH_A,454,36,10,517.42,480,5174.2,65,Supplier_W,7,1,0,4,0.114,3,0.021
19-07-2025,SKU100164,Bag,Clothing,WH_B,26,38,394,69.22,0,27272.68,101,Supplier_X,5,0,1,4,0.162,7,30.308
16-05-2025,SKU100165,Belt,Clothing,WH_B,468,108,377,936.79,199,353169.83,61,Supplier_W,10,1,0,2,0.037,5,1.13
12-10-2024,SKU100166,Sneakers,Footwear,WH_B,396,63,360,189.24,99,68126.4,105,Supplier_Z,7,0,1,4,0.166,4,1.455
03-10-2024,SKU100167,Sneakers,Footwear,WH_B,438,174,170,1789.78,442,304262.6,105,Supplier_Z,30,0,0,4,0.125,10,0.386
08-08-2025,SKU100168,Scarf,Accessories,WH_B,144,278,35,388.65,387,13602.75,72,Supplier_Z,14,0,0,4,0.114,7,0.132
27-03-2025,SKU100169,T-Shirt,Clothing,WH_A,74,31,129,879.2,0,113416.8,60,Supplier_Z,16,0,1,4,0.152,7,3.486
20-10-2024,SKU100170,Hat,Accessories,WH_A,186,208,342,896.3,52,306534.6,88,Supplier_W,9,0,1,2,0.048,8,2.874
22-02-2025,SKU100171,Sneakers,Accessories,WH_B,9,18,60,1128.09,0,67685.4,79,Supplier_X,13,0,1,3,0.123,5,13.333
25-06-2024,SKU100172,Socks,Clothing,WH_B,120,105,333,1575.94,0,524788.02,18,Supplier_X,10,0,0,4,0.048,4,5.55
15-05-2024,SKU100173,Shorts,Footwear,WH_A,288,205,48,970.69,445,46593.12,111,Supplier_Z,7,1,0,4,0.036,1,0.131
19-06-2024,SKU100174,Hat,Footwear,WH_C,461,246,395,100.22,312,39586.9,103,Supplier_X,10,0,0,3,0.125,4,1.022
26-11-2024,SKU100175,Jacket,Clothing,WH_A,164,166,185,1553.67,145,287428.95,50,Supplier_W,14,0,1,4,0.054,11,1.197
18-11-2024,SKU100176,Hat,Clothing,WH_C,381,88,220,210.24,249,46252.8,49,Supplier_X,17,0,0,3,0.143,10,0.698
16-08-2024,SKU100177,Tie,Footwear,WH_B,263,10,5,1301.03,268,6505.15,25,Supplier_Y,21,0,1,3,0.103,1,0.019
01-08-2025,SKU100178,T-Shirt,Clothing,WH_B,160,48,299,1616.69,0,483390.31,34,Supplier_X,18,0,0,3,0.139,7,3.738
27-07-2025,SKU100179,Coat,Clothing,WH_A,390,60,174,601.25,276,104617.5,19,Supplier_Z,16,0,0,3,0.178,6,0.523
23-07-2024,SKU100180,Coat,Clothing,WH_B,417,170,278,925.76,309,257361.28,39,Supplier_X,30,0,1,2,0.028,7,0.766
31-10-2024,SKU100181,Sneakers,Footwear,WH_C,326,142,370,77.95,98,28841.5,18,Supplier_X,9,0,0,4,0.013,8,1.745
17-10-2025,SKU100182,Blouse,Accessories,WH_C,390,206,353,1617.56,243,570998.68,49,Supplier_X,10,1,0,4,0.08,6,1.115
05-02-2025,SKU100183,Sweater,Accessories,WH_A,296,200,363,1421.36,133,515953.68,66,Supplier_X,9,0,1,4,0.143,2,1.692
22-12-2024,SKU100184,Blouse2,Clothing,WH_C,117,4,203,501.21,0,101745.63,55,Supplier_Y,20,0,0,4,0.177,2,3.47
17-08-2025,SKU100185,Blouse,Footwear,WH_A,483,210,95,810.94,598,77039.3,16,Supplier_W,26,1,1,3,0.007,9,0.176
20-09-2024,SKU100186,Skirt,Clothing,WH_A,310,28,281,1405.87,57,395049.47,52,Supplier_Z,8,0,0,4,0.159,6,1.531
14-09-2025,SKU100187,Bag,Footwear,WH_C,262,189,134,748.42,317,100288.28,57,Supplier_Z,28,0,1,4,0.015,6,0.463
